Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28082 Manzanares el Real;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.034
28082 Manzanares el Real;Total;15 y más años;Educación superior;2024;3.792
28083 Meco;Total;15 y más años;Educación primaria e inferior;2024;979
28083 Meco;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;3.978
28083 Meco;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.511
28083 Meco;Total;15 y más años;Educación superior;2024;4.741
28084 Mejorada del Campo;Total;15 y más años;Educación primaria e inferior;2024;2.669
28084 Mejorada del Campo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;8.128
28084 Mejorada del Campo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;5.420
28084 Mejorada del Campo;Total;15 y más años;Educación superior;2024;4.726
28085 Miraflores de la Sierra;Total;15 y más años;Educación primaria e inferior;2024;817
28085 Miraflores de la Sierra;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.427
28085 Miraflores de la Sierra;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.489
28085 Miraflores de la Sierra;Total;15 y más años;Educación superior;2024;2.490
28086 Molar, El;Total;15 y más años;Educación primaria e inferior;2024;1.246
28086 Molar, El;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.412
28086 Molar, El;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.195
28086 Molar, El;Total;15 y más años;Educación superior;2024;2.607
28087 Molinos, Los;Total;15 y más años;Educación primaria e inferior;2024;474
28087 Molinos, Los;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;966
28087 Molinos, Los;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.161
28087 Molinos, Los;Total;15 y más años;Educación superior;2024;1.655
28089 Moraleja de Enmedio;Total;15 y más años;Educación primaria e inferior;2024;518
28089 Moraleja de Enmedio;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.541
28089 Moraleja de Enmedio;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.189
28089 Moraleja de Enmedio;Total;15 y más años;Educación superior;2024;1.455
28090 Moralzarzal;Total;15 y más años;Educación primaria e inferior;2024;888
28090 Moralzarzal;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.308
28090 Moralzarzal;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.138
28090 Moralzarzal;Total;15 y más años;Educación superior;2024;5.957
28091 Morata de Tajuña;Total;15 y más años;Educación primaria e inferior;2024;1.191
28091 Morata de Tajuña;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.602
28091 Morata de Tajuña;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.715
28091 Morata de Tajuña;Total;15 y más años;Educación superior;2024;1.595
28092 Móstoles;Total;15 y más años;Educación primaria e inferior;2024;27.124
28092 Móstoles;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;61.046
28092 Móstoles;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;44.107
28092 Móstoles;Total;15 y más años;Educación superior;2024;52.413
28093 Navacerrada;Total;15 y más años;Educación primaria e inferior;2024;276
28093 Navacerrada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;606
28093 Navacerrada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;721
28093 Navacerrada;Total;15 y más años;Educación superior;2024;1.287
28094 Navalafuente;Total;15 y más años;Educación primaria e inferior;2024;202
28094 Navalafuente;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;331
28094 Navalafuente;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;355
28094 Navalafuente;Total;15 y más años;Educación superior;2024;517
28095 Navalagamella;Total;15 y más años;Educación primaria e inferior;2024;348
28095 Navalagamella;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;803
28095 Navalagamella;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;681
28095 Navalagamella;Total;15 y más años;Educación superior;2024;790
28096 Navalcarnero;Total;15 y más años;Educación primaria e inferior;2024;3.037
28096 Navalcarnero;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;7.641
28096 Navalcarnero;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;6.689
28096 Navalcarnero;Total;15 y más años;Educación superior;2024;9.107
